exponent,Brute_force_time,repeated_squaring_time
1,0,0
2,0,0.001
3,0,0.001
4,0.001,0.001
5,0,0.001
6,0.001,0.001
7,0.001,0.001
8,0.001,0.001
9,0.001,0.001
10,0.001,0.001
11,0.001,0.002
12,0.003,0.001
13,0.003,0.001
14,0.002,0.001
15,0.002,0.002
16,0.002,0.002
17,0.002,0.002
18,0.003,0.001
19,0.003,0.002
20,0.003,0.002
21,0.003,0.001
22,0.004,0.002
23,0.004,0.001
24,0.003,0.002
25,0.004,0.002
26,0.005,0.001
27,0.005,0.002
28,0.004,0.001
29,0.005,0.002
30,0.004,0.002
31,0.003,0.002
32,0.005,0.002
33,0.005,0.001
34,0.005,0.001
35,0.008,0.002
36,0.005,0.001
37,0.006,0.002
38,0.007,0.002
39,0.005,0.002
40,0.006,0.001
41,0.007,0.001
42,0.005,0.002
43,0.006,0.002
44,0.005,0.002
45,0.007,0.002
46,0.007,0.002
47,0.009,0.002
48,0.009,0.001
49,0.009,0.002
50,0.01,0.001
51,0.009,0.002
52,0.01,0.002
53,0.009,0.002
54,0.009,0.002
55,0.011,0.002
56,0.01,0.002
57,0.011,0.002
58,0.011,0.002
59,0.011,0.002
60,0.011,0.003
61,0.011,0.002
62,0.012,0.002
63,0.012,0.002
64,0.011,0.002
65,0.012,0.002
66,0.012,0.002
67,0.013,0.002
68,0.012,0.002
69,0.014,0.002
70,0.013,0.002
71,0.013,0.002
72,0.013,0.002
73,0.013,0.002
74,0.014,0.002
75,0.013,0.002
76,0.015,0.002
77,0.014,0.002
78,0.015,0.002
79,0.015,0.002
80,0.014,0.002
81,0.014,0.001
82,0.015,0.002
83,0.016,0.002
84,0.015,0.001
85,0.017,0.002
86,0.017,0.002
87,0.016,0.003
88,0.016,0.002
89,0.018,0.002
90,0.017,0.002
91,0.018,0.002
92,0.016,0.003
93,0.017,0.003
94,0.018,0.002
95,0.017,0.003
96,0.018,0.001
97,0.018,0.003
98,0.019,0.002
99,0.017,0.002
100,0.017,0.002
101,0.018,0.002
102,0.017,0.002
103,0.019,0.003
104,0.018,0.002
105,0.02,0.002
106,0.019,0.002
107,0.018,0.003
108,0.019,0.002
109,0.021,0.003
110,0.019,0.003
111,0.021,0.003
112,0.02,0.002
113,0.02,0.002
114,0.019,0.003
115,0.019,0.002
116,0.019,0.003
117,0.02,0.002
118,0.021,0.003
119,0.02,0.002
120,0.022,0.002
121,0.021,0.002
122,0.02,0.002
123,0.023,0.002
124,0.022,0.003
125,0.022,0.002
126,0.021,0.002
127,0.02,0.003
128,0.02,0.002
129,0.022,0.002
130,0.022,0.002
131,0.023,0.002
132,0.02,0.001
133,0.021,0.003
134,0.021,0.002
135,0.022,0.002
136,0.022,0.002
137,0.026,0.003
138,0.026,0.002
139,0.024,0.003
140,0.019,0.003
141,0.022,0.003
142,0.022,0.002
143,0.025,0.003
144,0.024,0.002
145,0.022,0.002
146,0.022,0.002
147,0.022,0.002
148,0.027,0.002
149,0.029,0.003
150,0.021,0.003
151,0.024,0.002
152,0.023,0.002
153,0.024,0.003
154,0.024,0.002
155,0.027,0.002
156,0.026,0.002
157,0.026,0.002
158,0.026,0.002
159,0.022,0.003
160,0.027,0.002
161,0.027,0.002
162,0.025,0.002
163,0.027,0.002
164,0.025,0.002
165,0.028,0.002
166,0.028,0.002
167,0.025,0.002
168,0.03,0.002
169,0.028,0.003
170,0.023,0.002
171,0.023,0.002
172,0.026,0.002
173,0.031,0.003
174,0.033,0.002
175,0.033,0.003
176,0.028,0.003
177,0.032,0.002
178,0.028,0.002
179,0.025,0.002
180,0.027,0.002
181,0.028,0.003
182,0.027,0.002
183,0.027,0.003
184,0.027,0.002
185,0.029,0.002
186,0.03,0.001
187,0.027,0.003
188,0.026,0.002
189,0.031,0.003
190,0.028,0.002
191,0.029,0.002
192,0.033,0.002
193,0.029,0.002
194,0.027,0.002
195,0.029,0.002
196,0.03,0.002
197,0.027,0.002
198,0.03,0.002
199,0.028,0.001
200,0.03,0.001
201,0.03,0.002
202,0.029,0.002
203,0.03,0.002
204,0.029,0.003
205,0.029,0.002
206,0.032,0.002
207,0.031,0.002
208,0.031,0.002
209,0.032,0.002
210,0.029,0.003
211,0.032,0.002
212,0.031,0.001
213,0.032,0.003
214,0.035,0.003
215,0.029,0.003
216,0.029,0.002
217,0.029,0.002
218,0.03,0.002
219,0.036,0.002
220,0.035,0.002
221,0.036,0.002
222,0.034,0.002
223,0.034,0.003
224,0.033,0.002
225,0.034,0.002
226,0.034,0.003
227,0.032,0.003
228,0.035,0.002
229,0.034,0.002
230,0.034,0.002
231,0.034,0.002
232,0.037,0.002
233,0.033,0.002
234,0.034,0.001
235,0.038,0.002
236,0.032,0.002
237,0.032,0.002
238,0.031,0.003
239,0.033,0.002
240,0.034,0.002
241,0.038,0.002
242,0.039,0.001
243,0.036,0.002
244,0.036,0.002
245,0.033,0.002
246,0.036,0.003
247,0.036,0.003
248,0.036,0.002
249,0.038,0.003
250,0.037,0.003
251,0.04,0.002
252,0.037,0.003
253,0.04,0.003
254,0.036,0.003
255,0.038,0.002
256,0.036,0.002
257,0.039,0.003
258,0.037,0.002
259,0.039,0.002
260,0.037,0.001
261,0.04,0.002
262,0.041,0.002
263,0.038,0.002
264,0.037,0.003
265,0.038,0.002
266,0.039,0.002
267,0.039,0.002
268,0.039,0.002
269,0.042,0.003
270,0.039,0.002
271,0.041,0.002
272,0.042,0.002
273,0.036,0.002
274,0.038,0.002
275,0.036,0.002
276,0.041,0.002
277,0.042,0.002
278,0.04,0.002
279,0.042,0.002
280,0.041,0.002
281,0.041,0.002
282,0.042,0.002
283,0.041,0.002
284,0.042,0.001
285,0.047,0.002
286,0.048,0.002
287,0.043,0.003
288,0.046,0.002
289,0.04,0.001
290,0.043,0.002
291,0.041,0.002
292,0.046,0.002
293,0.042,0.001
294,0.043,0.002
295,0.045,0.002
296,0.05,0.003
297,0.044,0.001
298,0.046,0.001
299,0.045,0.002
300,0.044,0.002
301,0.043,0.002
302,0.045,0.002
303,0.047,0.003
304,0.042,0.002
305,0.059,0.003
306,0.062,0.004
307,0.063,0.004
308,0.062,0.003
309,0.056,0.002
310,0.067,0.003
